cve_mun_full,Municipio,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
26003,CAJEME,Álamos,23.0,Cálido,Medio,90.2,68.0,11.5,19.7,13.9,75.4,77.9,0.5,,,,,,,,,
26004,CANANEA,Altar,21.0,Semicálido,Muy bajo,81.8,45.5,27.3,45.5,0.0,81.8,63.6,0.5,,,,,,,,,
26005,EMPALME,Arivechi,15.0,Templado,Muy bajo,80.0,100.0,40.0,40.0,20.0,100.0,100.0,0.7,,,,,,,,,
26006,GUAYMAS,Arizpe,17.0,Templado,Muy bajo,100.0,77.8,55.6,33.3,22.2,100.0,100.0,0.7,,,,,,,,,
26007,HERMOSILLO,Atil,21.0,Semicálido,Muy bajo,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.7,,,,,,,,,
26008,HUATABAMPO,Bacadéhuachi,23.0,Cálido,Muy bajo,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.7,,,,,,,,,
26009,MAGDALENA,Bacanora,23.0,Cálido,Bajo,100.0,75.0,25.0,25.0,25.0,75.0,100.0,0.6,,,,,,,,,
26010,MOCTEZUMA,Bacerac,15.0,Templado,Bajo,57.1,28.6,28.6,28.6,28.6,57.1,71.4,0.4,,,,,,,,,
26011,NACOZARI DE GARCÍA,Bacoachi,19.0,Semicálido,Muy bajo,66.7,100.0,0.0,66.7,33.3,100.0,66.7,0.6,,,,,,,,,
26012,NAVOJOA,Bácum,23.0,Cálido,Bajo,92.3,73.1,42.3,34.6,11.5,80.8,76.9,0.6,,,,,,,,,
26013,NOGALES,Banámichi,15.0,Templado,Muy bajo,100.0,100.0,33.3,66.7,0.0,100.0,100.0,0.7,,,,,,,,,
26014,PUERTO PEÑASCO,Baviácora,19.0,Semicálido,Muy bajo,100.0,100.0,50.0,66.7,16.7,100.0,100.0,0.8,,,,,,,,,
26015,SAN LUIS RÍO COLORADO,Bavispe,15.0,Templado,Muy bajo,100.0,100.0,33.3,0.0,0.0,100.0,100.0,0.6,,,,,,,,,
26016,SANTA ANA,Benjamín Hill,19.0,Semicálido,Muy bajo,100.0,75.0,100.0,100.0,50.0,100.0,75.0,0.9,,,,,,,,,
27001,BALANCÁN,Balancán,25.0,Cálido,Medio,94.6,21.1,8.8,10.9,14.3,59.2,82.3,0.4,12.0,100.0,75.0,0.0,41.67,0.0,100.0,RURAL,PÚBLICO
27002,CÁRDENAS,Cárdenas,25.0,Cálido,Bajo,96.6,24.0,12.2,33.1,16.0,41.1,84.8,0.4,20.0,100.0,50.0,10.0,55.0,25.0,75.0,RURAL,PÚBLICO
27003,CENTLA,Centla,27.0,Muy cálido,Medio,91.0,29.8,4.5,21.3,12.4,26.4,77.0,0.4,8.0,100.0,37.5,0.0,62.5,25.0,75.0,RURAL,PÚBLICO
27004,CENTRO,Centro,27.0,Muy cálido,Muy bajo,98.1,36.8,27.5,45.6,29.6,88.9,88.1,0.6,31.0,100.0,90.32,12.9,67.74,41.94,58.06,RURAL,PÚBLICO
27005,COMALCALCO,Comalcalco,27.0,Muy cálido,Bajo,99.0,31.7,19.2,34.1,21.2,82.2,85.1,0.5,35.0,100.0,97.14,0.0,77.14,8.57,91.43,RURAL,PÚBLICO
27006,CUNDUACÁN,Cunduacán,27.0,Muy cálido,Bajo,95.1,26.2,12.8,29.9,12.2,53.0,78.7,0.4,39.0,100.0,64.1,2.56,48.72,7.69,92.31,RURAL,PÚBLICO
27007,EMILIANO ZAPATA,Emiliano Zapata,25.0,Cálido,Muy bajo,97.7,16.3,9.3,39.5,27.9,76.7,81.4,0.5,1.0,100.0,100.0,100.0,100.0,100.0,0.0,URBANO,PÚBLICO
27008,HUIMANGUILLO,Huimanguillo,23.0,Cálido,Medio,90.2,21.4,5.1,16.1,10.1,31.3,68.8,0.3,33.0,100.0,48.48,3.03,21.21,15.15,84.85,RURAL,PÚBLICO
27009,JALAPA,Jalapa,27.0,Muy cálido,Bajo,98.5,13.4,6.0,19.4,16.4,85.1,80.6,0.5,5.0,100.0,100.0,0.0,60.0,0.0,100.0,RURAL,PÚBLICO
27010,JALPA DE MÉNDEZ,Jalpa de Méndez,27.0,Muy cálido,Bajo,100.0,29.4,12.9,34.1,18.8,75.3,77.6,0.5,11.0,100.0,45.45,0.0,81.82,9.09,90.91,RURAL,PÚBLICO
27011,JONUTA,Jonuta,27.0,Muy cálido,Medio,89.1,17.3,0.9,6.4,23.6,49.1,77.3,0.4,2.0,100.0,100.0,0.0,50.0,0.0,100.0,RURAL,PÚBLICO
27012,MACUSPANA,Macuspana,27.0,Muy cálido,Medio,90.9,23.1,6.3,18.2,12.6,50.3,72.4,0.4,26.0,100.0,73.08,7.69,65.38,7.69,92.31,RURAL,PÚBLICO
27013,NACAJUCA,Nacajuca,27.0,Muy cálido,Muy bajo,98.9,29.0,10.8,38.7,24.7,79.6,76.3,0.5,7.0,100.0,100.0,0.0,85.71,14.29,85.71,RURAL,PÚBLICO
27014,PARAÍSO,Paraíso,27.0,Muy cálido,Muy bajo,100.0,25.9,25.9,42.0,22.2,75.3,92.6,0.5,14.0,100.0,85.71,21.43,92.86,14.29,85.71,RURAL,PÚBLICO
27015,TACOTALPA,Tacotalpa,23.0,Cálido,Medio,95.7,33.3,3.4,23.1,14.5,77.8,82.9,0.5,13.0,100.0,69.23,0.0,38.46,0.0,100.0,RURAL,PÚBLICO
27016,TEAPA,Teapa,23.0,Cálido,Bajo,95.7,29.0,14.5,30.4,17.4,78.3,84.1,0.5,7.0,100.0,100.0,0.0,71.43,42.86,57.14,RURAL,PÚBLICO
27017,TENOSIQUE,Tenosique,23.0,Cálido,Bajo,92.9,16.3,5.0,24.8,18.4,73.8,80.9,0.4,12.0,100.0,83.33,0.0,25.0,16.67,83.33,RURAL,PÚBLICO
28001,ALTAMIRA,Abasolo,21.0,Semicálido,Bajo,100.0,65.0,35.0,55.0,15.0,85.0,90.0,0.6,,,,,,,,,
28002,CIUDAD MADERO,Aldama,23.0,Cálido,Bajo,98.8,54.7,19.8,19.8,17.4,75.6,80.2,0.5,,,,,,,,,
28003,EL MANTE,Altamira,23.0,Cálido,Muy bajo,95.6,62.6,42.9,34.1,15.9,89.0,85.2,0.6,,,,,,,,,
28004,GUSTAVO DÍAZ ORDAZ,Antiguo Morelos,25.0,Cálido,Medio,95.8,50.0,12.5,29.2,4.2,70.8,66.7,0.5,,,,,,,,,
28005,HIDALGO,Burgos,21.0,Semicálido,Bajo,88.9,44.4,5.6,11.1,5.6,44.4,72.2,0.4,,,,,,,,,
28006,MATAMOROS,Bustamante,17.0,Templado,Muy alto,97.1,37.1,0.0,20.0,5.7,20.0,65.7,0.4,,,,,,,,,
28007,MIER,Camargo,23.0,Cálido,Muy bajo,100.0,76.2,52.4,42.9,23.8,100.0,95.2,0.7,,,,,,,,,
28008,NUEVO LAREDO,Casas,23.0,Cálido,Alto,95.8,58.3,12.5,20.8,25.0,58.3,75.0,0.5,,,,,,,,,
28009,REYNOSA,Ciudad Madero,23.0,Cálido,Muy bajo,99.2,84.4,79.5,41.8,33.6,98.4,94.3,0.8,,,,,,,,,
28010,TAMPICO,Cruillas,21.0,Semicálido,Medio,100.0,28.6,0.0,42.9,14.3,71.4,100.0,0.5,,,,,,,,,
28011,VALLE HERMOSO,Gómez Farías,25.0,Cálido,Bajo,93.9,27.3,0.0,12.1,12.1,51.5,87.9,0.4,,,,,,,,,
28012,VICTORIA,González,25.0,Cálido,Bajo,95.4,47.7,18.5,18.5,10.8,80.0,80.0,0.5,,,,,,,,,
28013,XICOTÉNCATL,Güémez,21.0,Semicálido,Bajo,95.5,68.2,43.2,29.5,13.6,79.5,86.4,0.6,,,,,,,,,
29001,APIZACO,Amaxac de Guerrero,15.0,Templado,Muy bajo,100.0,100.0,57.1,71.4,57.1,100.0,100.0,0.8,,,,,,,,,
29002,CALPULALPAN,Apetatitlán de Antonio Carvajal,15.0,Templado,Muy bajo,100.0,94.1,82.4,41.2,17.6,100.0,100.0,0.8,,,,,,,,,
29003,CHIAUTEMPAN,Atlangatepec,13.0,Templado,Bajo,100.0,93.8,25.0,12.5,37.5,100.0,93.8,0.7,,,,,,,,,
29004,HUAMANTLA,Atltzayanca,15.0,Templado,Bajo,91.4,74.3,20.0,22.9,31.4,91.4,91.4,0.6,,,,,,,,,
29005,PAPALOTLA DE XICOHTÉNCATL,Apizaco,15.0,Templado,Muy bajo,100.0,86.6,76.8,46.3,18.3,100.0,100.0,0.8,,,,,,,,,
29006,SAN FRANCISCO TETLANOHCAN,Calpulalpan,11.0,Semifrio,Muy bajo,97.5,82.5,42.5,35.0,32.5,95.0,92.5,0.7,,,,,,,,,
29007,SAN PABLO DEL MONTE,El Carmen Tequexquitla,15.0,Templado,Bajo,100.0,82.4,29.4,35.3,23.5,94.1,100.0,0.7,,,,,,,,,
29008,TEPETITLA DE LARDIZÁBAL,Cuapiaxtla,15.0,Templado,Bajo,100.0,80.0,25.0,20.0,20.0,100.0,100.0,0.6,,,,,,,,,
29009,TETLA DE LA SOLIDARIDAD,Cuaxomulco,15.0,Templado,Bajo,100.0,75.0,75.0,25.0,12.5,100.0,100.0,0.7,,,,,,,,,
29010,TLAXCALA,Chiautempan,15.0,Templado,Muy bajo,98.0,88.0,64.0,50.0,20.0,98.0,98.0,0.7,,,,,,,,,
29011,TLAXCO,Muñoz de Domingo Arenas,13.0,Templado,Muy bajo,100.0,87.5,25.0,37.5,25.0,100.0,87.5,0.7,,,,,,,,,
29012,TOTOLAC,Españita,15.0,Templado,Bajo,91.3,91.3,21.7,21.7,21.7,95.7,100.0,0.6,,,,,,,,,
29013,TZOMPANTEPEC,Huamantla,15.0,Templado,Muy bajo,96.6,86.4,39.8,40.9,28.4,98.9,98.9,0.7,,,,,,,,,
29014,XALOZTOC,Hueyotlipan,13.0,Templado,Muy bajo,100.0,81.0,23.8,38.1,9.5,95.2,90.5,0.6,,,,,,,,,
29015,ZACATELCO,Ixtacuixtla de Mariano Matamoros,15.0,Templado,Muy bajo,100.0,91.2,38.2,38.2,8.8,85.3,94.1,0.7,,,,,,,,,
30001,ACAYUCAN,Acajete,13.0,Templado,Medio,81.5,33.3,25.9,7.4,7.4,85.2,88.9,0.5,,,,,,,,,
30002,AGUA DULCE,Acatlán,17.0,Templado,Medio,100.0,66.7,33.3,66.7,0.0,100.0,100.0,0.7,,,,,,,,,
30003,ÁLAMO TEMAPACHE,Acayucan,25.0,Cálido,Bajo,95.8,26.1,17.6,13.4,8.4,82.4,85.7,0.5,,,,,,,,,
30004,ALTOTONGA,Actopan,23.0,Cálido,Bajo,97.6,24.1,25.3,10.8,8.4,85.5,81.9,0.5,,,,,,,,,
30005,ALVARADO,Acula,25.0,Cálido,Alto,100.0,25.0,8.3,8.3,0.0,41.7,83.3,0.4,,,,,,,,,
30006,BOCA DEL RÍO,Acultzingo,13.0,Templado,Alto,97.5,50.0,7.5,12.5,0.0,55.0,77.5,0.4,,,,,,,,,
30007,CAMERINO Z. MENDOZA,Camarón de Tejeda,25.0,Cálido,Medio,100.0,10.5,10.5,5.3,0.0,100.0,94.7,0.5,,,,,,,,,
30008,CASTILLO DE TEAYO,Alpatláhuac,13.0,Templado,Alto,88.6,20.0,14.3,5.7,2.9,80.0,77.1,0.4,,,,,,,,,
30009,CATEMACO,Alto Lucero de Gutiérrez Barrios,25.0,Cálido,Bajo,100.0,36.7,23.3,8.3,5.0,88.3,93.3,0.5,,,,,,,,,
30010,COATEPEC,Altotonga,21.0,Semicálido,Medio,96.5,41.7,12.5,9.7,19.4,61.8,81.9,0.5,,,,,,,,,
30011,COATZACOALCOS,Alvarado,25.0,Cálido,Muy bajo,100.0,31.4,29.1,11.6,5.8,74.4,93.0,0.5,,,,,,,,,
30012,CÓRDOBA,Amatitlán,25.0,Cálido,Medio,95.5,13.6,9.1,4.5,4.5,50.0,81.8,0.4,,,,,,,,,
30013,COSAMALOAPAN DE CARPIO,Naranjos Amatlán,23.0,Cálido,Muy bajo,100.0,25.0,22.7,20.5,22.7,77.3,88.6,0.5,,,,,,,,,
30014,COSCOMATEPEC,Amatlán de los Reyes,21.0,Semicálido,Bajo,100.0,46.0,20.0,18.0,8.0,78.0,86.0,0.5,,,,,,,,,
30015,COSOLEACAQUE,Angel R. Cabada,23.0,Cálido,Medio,98.3,25.9,13.8,5.2,1.7,89.7,89.7,0.5,,,,,,,,,
30016,COTAXTLA,La Antigua,25.0,Cálido,Muy bajo,93.9,33.3,30.3,21.2,9.1,100.0,90.9,0.5,,,,,,,,,
30017,COYUTLA,Apazapan,25.0,Cálido,Bajo,100.0,45.5,27.3,9.1,0.0,81.8,100.0,0.5,,,,,,,,,
30018,CUITLÁHUAC,Aquila,15.0,Templado,Alto,100.0,62.5,12.5,37.5,0.0,100.0,62.5,0.5,,,,,,,,,
30019,EL HIGO,Astacinga,13.0,Templado,Alto,100.0,70.0,10.0,0.0,0.0,65.0,80.0,0.5,,,,,,,,,
30020,GUTIÉRREZ ZAMORA,Atlahuilco,13.0,Templado,Muy alto,95.5,45.5,4.5,0.0,0.0,68.2,86.4,0.4,,,,,,,,,
30021,HUATUSCO,Atoyac,21.0,Semicálido,Bajo,97.3,32.4,16.2,5.4,0.0,56.8,78.4,0.4,,,,,,,,,
30022,HUAYACOCOTLA,Atzacan,19.0,Semicálido,Medio,100.0,44.0,12.0,28.0,0.0,76.0,96.0,0.5,,,,,,,,,
30023,ISLA,Atzalan,15.0,Templado,Alto,98.3,26.0,6.8,2.3,11.3,63.8,82.5,0.4,,,,,,,,,
30024,JOSÉ AZUETA,Tlaltetela,25.0,Cálido,Medio,97.5,22.5,12.5,10.0,2.5,82.5,90.0,0.5,,,,,,,,,
30025,JUAN RODRÍGUEZ CLARA,Ayahualulco,13.0,Templado,Alto,89.6,39.6,16.7,10.4,4.2,83.3,91.7,0.5,,,,,,,,,
30026,LA ANTIGUA,Banderilla,19.0,Semicálido,Muy bajo,100.0,52.6,57.9,42.1,36.8,94.7,94.7,0.7,,,,,,,,,
30027,LAS CHOAPAS,Benito Juárez,23.0,Cálido,Alto,91.4,46.6,3.4,1.7,0.0,36.2,56.9,0.3,,,,,,,,,
30028,LERDO DE TEJADA,Boca del Río,25.0,Cálido,Muy bajo,93.0,55.3,53.5,34.2,17.5,91.2,94.7,0.6,,,,,,,,,
30029,MANLIO FABIO ALTAMIRANO,Calcahualco,13.0,Templado,Alto,89.6,37.5,8.3,10.4,8.3,85.4,89.6,0.5,,,,,,,,,
30030,MARTÍNEZ DE LA TORRE,Camerino Z. Mendoza,13.0,Templado,Bajo,96.9,65.6,28.1,18.8,18.8,84.4,96.9,0.6,,,,,,,,,
30031,MINATITLÁN,Carrillo Puerto,25.0,Cálido,Alto,98.5,7.7,9.2,1.5,4.6,92.3,93.8,0.4,,,,,,,,,
30032,MISANTLA,Catemaco,21.0,Semicálido,Medio,100.0,20.0,14.4,6.7,4.4,81.1,92.2,0.5,,,,,,,,,
30033,NARANJOS AMATLÁN,Cazones de Herrera,25.0,Cálido,Alto,93.4,50.8,4.9,4.9,3.3,55.7,93.4,0.4,,,,,,,,,
30034,NOGALES,Cerro Azul,23.0,Cálido,Muy bajo,100.0,24.3,10.8,32.4,10.8,91.9,91.9,0.5,,,,,,,,,
30035,ORIZABA,Citlaltépetl,23.0,Cálido,Medio,100.0,19.2,0.0,7.7,7.7,80.8,84.6,0.4,,,,,,,,,
30036,PÁNUCO,Coacoatzintla,13.0,Templado,Bajo,90.5,19.0,9.5,4.8,0.0,81.0,90.5,0.4,,,,,,,,,
30037,PAPANTLA,Coahuitlán,21.0,Semicálido,Alto,90.0,30.0,20.0,10.0,0.0,80.0,100.0,0.5,,,,,,,,,
30038,PASO DE OVEJAS,Coatepec,21.0,Semicálido,Muy bajo,94.9,43.9,43.9,25.5,15.3,93.9,94.9,0.6,,,,,,,,,
30039,PEROTE,Coatzacoalcos,25.0,Cálido,Muy bajo,93.9,38.2,41.7,24.6,13.2,93.9,91.2,0.6,,,,,,,,,
30040,PLAYA VICENTE,Coatzintla,25.0,Cálido,Muy bajo,95.4,40.0,20.0,16.9,9.2,63.1,86.2,0.5,,,,,,,,,
30041,POZA RICA DE HIDALGO,Coetzala,19.0,Semicálido,Muy alto,75.0,25.0,0.0,25.0,0.0,75.0,50.0,0.4,,,,,,,,,
30042,PUENTE NACIONAL,Colipa,21.0,Semicálido,Alto,100.0,20.0,25.0,0.0,15.0,50.0,90.0,0.4,,,,,,,,,
30043,RÍO BLANCO,Comapa,21.0,Semicálido,Alto,96.2,13.2,17.0,1.9,1.9,66.0,90.6,0.4,,,,,,,,,
30044,SAN ANDRÉS TUXTLA,Córdoba,19.0,Semicálido,Muy bajo,98.6,68.4,55.2,33.5,17.9,95.8,93.4,0.7,,,,,,,,,
30045,SANTIAGO TUXTLA,Cosamaloapan de Carpio,25.0,Cálido,Bajo,88.9,11.1,15.3,4.2,2.8,69.4,80.6,0.4,,,,,,,,,
30046,SOLEDAD DE DOBLADO,Cosautlán de Carvajal,21.0,Semicálido,Medio,100.0,23.5,14.7,2.9,2.9,97.1,100.0,0.5,,,,,,,,,
30047,TANTOYUCA,Coscomatepec,19.0,Semicálido,Alto,96.4,53.0,15.7,9.6,16.9,80.7,88.0,0.5,,,,,,,,,
30048,TEMPOAL,Cosoleacaque,25.0,Cálido,Muy bajo,98.0,17.8,23.8,12.9,7.9,72.3,79.2,0.4,,,,,,,,,
30049,TEPETLÁN,Cotaxtla,25.0,Cálido,Medio,98.6,26.4,25.0,2.8,15.3,87.5,93.1,0.5,,,,,,,,,
30050,TEZONAPA,Coxquihui,23.0,Cálido,Muy alto,97.0,30.3,0.0,3.0,0.0,39.4,81.8,0.4,,,,,,,,,
30051,TIERRA BLANCA,Coyutla,25.0,Cálido,Alto,100.0,28.6,9.5,14.3,0.0,73.8,88.1,0.4,,,,,,,,,
30052,TLACOTALPAN,Cuichapa,21.0,Semicálido,Medio,100.0,27.8,11.1,5.6,0.0,94.4,88.9,0.5,,,,,,,,,
30053,TLALIXCOYAN,Cuitláhuac,25.0,Cálido,Bajo,97.4,39.5,36.8,15.8,10.5,86.8,86.8,0.5,,,,,,,,,
30054,TLAPACOYAN,Chacaltianguis,25.0,Cálido,Medio,92.6,29.6,0.0,0.0,0.0,77.8,77.8,0.4,,,,,,,,,
30055,TUXPAN,Chalma,23.0,Cálido,Alto,97.4,31.6,0.0,2.6,0.0,50.0,73.7,0.4,,,,,,,,,
30056,VEGA DE ALATORRE,Chiconamel,23.0,Cálido,Alto,100.0,42.9,7.1,3.6,7.1,46.4,67.9,0.4,,,,,,,,,
30057,VERACRUZ,Chiconquiaco,13.0,Templado,Alto,95.7,30.4,15.2,2.2,2.2,69.6,71.7,0.4,,,,,,,,,
30058,XALAPA,Chicontepec,23.0,Cálido,Alto,96.5,47.5,3.0,4.0,1.5,48.5,72.5,0.4,,,,,,,,,
30059,YECUATLA,Chinameca,25.0,Cálido,Medio,95.8,25.0,16.7,16.7,4.2,54.2,66.7,0.4,,,,,,,,,
30060,ZONGOLICA,Chinampa de Gorostiza,23.0,Cálido,Alto,100.0,32.1,17.9,3.6,0.0,57.1,85.7,0.4,,,,,,,,,
31001,ACANCEH,Abalá,25.0,Cálido,Alto,90.9,63.6,45.5,45.5,9.1,90.9,90.9,0.6,,,,,,,,,
31002,IZAMAL,Acanceh,25.0,Cálido,Bajo,94.1,52.9,41.2,35.3,11.8,94.1,88.2,0.6,,,,,,,,,
31003,MÉRIDA,Akil,25.0,Cálido,Medio,87.5,50.0,25.0,62.5,12.5,75.0,87.5,0.6,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
31004,MOTUL,Baca,25.0,Cálido,Bajo,100.0,28.6,28.6,42.9,57.1,85.7,100.0,0.6,,,,,,,,,
31005,MUNA,Bokobá,25.0,Cálido,Medio,100.0,100.0,100.0,100.0,0.0,66.7,100.0,0.8,,,,,,,,,
31006,OXKUTZCAB,Buctzotz,25.0,Cálido,Medio,61.5,38.5,7.7,23.1,7.7,69.2,69.2,0.4,,,,,,,,,
31007,PROGRESO,Cacalchén,25.0,Cálido,Bajo,100.0,80.0,80.0,60.0,0.0,100.0,100.0,0.7,,,,,,,,,
31008,TICUL,Calotmul,25.0,Cálido,Alto,100.0,28.6,42.9,28.6,0.0,71.4,85.7,0.5,,,,,,,,,
31009,UMÁN,Cansahcab,25.0,Cálido,Medio,100.0,75.0,50.0,75.0,62.5,87.5,100.0,0.8,1.0,100.0,100.0,100.0,100.0,100.0,0.0,URBANO,PÚBLICO
31010,VALLADOLID,Cantamayec,25.0,Cálido,Alto,80.0,60.0,20.0,40.0,20.0,80.0,60.0,0.5,,,,,,,,,
32001,CALERA,Apozol,17.0,Templado,Bajo,100.0,75.0,43.8,37.5,25.0,93.8,100.0,0.7,,,,,,,,,
32002,FRESNILLO,Apulco,19.0,Semicálido,Bajo,100.0,70.6,17.6,17.6,17.6,70.6,88.2,0.5,2.0,100.0,100.0,0.0,50.0,50.0,50.0,RURAL,PÚBLICO
32003,GENERAL FRANCISCO R. MURGUÍA,Atolinga,17.0,Templado,Bajo,100.0,100.0,60.0,60.0,0.0,80.0,80.0,0.7,1.0,100.0,100.0,0.0,100.0,100.0,0.0,URBANO,PÚBLICO
32004,GUADALUPE,Benito Juárez,15.0,Templado,Bajo,100.0,75.0,50.0,25.0,0.0,100.0,100.0,0.6,3.0,100.0,100.0,0.0,66.67,33.33,66.67,RURAL,PÚBLICO
32005,JALPA,Calera,15.0,Templado,Muy bajo,100.0,53.1,50.0,37.5,21.9,90.6,90.6,0.6,1.0,100.0,100.0,100.0,0.0,0.0,100.0,RURAL,PÚBLICO
32006,JEREZ,Cañitas de Felipe Pescador,15.0,Templado,Muy bajo,91.7,75.0,58.3,25.0,33.3,91.7,100.0,0.7,6.0,100.0,100.0,0.0,66.67,66.67,33.33,URBANO,PÚBLICO
32007,JUAN ALDAMA,Concepción del Oro,13.0,Templado,Muy bajo,94.4,61.1,11.1,19.4,11.1,72.2,75.0,0.5,,,,,,,,,
32008,LORETO,Cuauhtémoc,17.0,Templado,Bajo,100.0,38.5,23.1,15.4,15.4,84.6,100.0,0.5,4.0,100.0,100.0,25.0,75.0,75.0,25.0,URBANO,PÚBLICO
32009,NOCHISTLÁN DE MEJÍA,Chalchihuites,17.0,Templado,Bajo,100.0,61.5,25.6,12.8,23.1,79.5,89.7,0.6,6.0,100.0,100.0,16.67,33.33,16.67,83.33,RURAL,PÚBLICO
32010,NORIA DE ÁNGELES,Fresnillo,13.0,Templado,Muy bajo,94.7,60.8,36.0,30.1,17.5,87.7,90.4,0.6,32.0,100.0,96.88,12.5,18.75,18.75,81.25,RURAL,PÚBLICO
32011,PINOS,Trinidad García de la Cadena,17.0,Templado,Bajo,100.0,100.0,80.0,40.0,60.0,100.0,100.0,0.8,1.0,100.0,100.0,0.0,100.0,100.0,0.0,URBANO,PÚBLICO
32012,RÍO GRANDE,Genaro Codina,13.0,Templado,Medio,90.2,43.9,12.2,14.6,14.6,78.0,82.9,0.5,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
32013,SOMBRERETE,General Enrique Estrada,15.0,Templado,Bajo,100.0,54.5,0.0,9.1,0.0,100.0,90.9,0.5,2.0,100.0,100.0,0.0,50.0,50.0,50.0,RURAL,PÚBLICO
32014,TABASCO,General Francisco R. Murguía,15.0,Templado,Bajo,100.0,53.2,8.9,20.3,5.1,94.9,94.9,0.5,11.0,100.0,100.0,0.0,36.36,18.18,81.82,RURAL,PÚBLICO
32015,TLALTENANGO DE SÁNCHEZ ROMÁN,El Plateado de Joaquín Amaro,19.0,Semicálido,Bajo,100.0,71.4,57.1,0.0,0.0,100.0,85.7,0.6,1.0,100.0,100.0,0.0,0.0,100.0,0.0,URBANO,PÚBLICO
32016,VALPARAÍSO,General Pánfilo Natera,15.0,Templado,Bajo,95.3,62.8,11.6,27.9,16.3,100.0,93.0,0.6,5.0,100.0,100.0,20.0,60.0,0.0,100.0,RURAL,PÚBLICO
32017,VILLA HIDALGO,Guadalupe,13.0,Templado,Muy bajo,97.9,64.5,57.4,52.5,27.0,96.5,92.9,0.7,8.0,100.0,100.0,12.5,75.0,50.0,50.0,RURAL,PÚBLICO
32018,VILLANUEVA,Huanusco,19.0,Semicálido,Bajo,91.7,62.5,12.5,16.7,4.2,70.8,87.5,0.5,2.0,100.0,100.0,0.0,0.0,100.0,0.0,URBANO,PÚBLICO
32019,ZACATECAS,Jalpa,21.0,Semicálido,Muy bajo,98.4,60.7,29.5,29.5,27.9,80.3,90.2,0.6,7.0,100.0,100.0,0.0,71.43,28.57,71.43,RURAL,PÚBLICO
